pod_name,submit_time
yolov5-cffch,1687419457.0656054
lstm-cdh75,1687419698.5128353
squeezenet-l28tp,1687419836.1363907
resnet50-rp7zz,1687419848.1571312
neumf-4pq8q,1687419852.8931103
squeezenet-2ccg7,1687420110.9920585
yolov5-hnzbw,1687420306.0599797
resnet50-jqsbj,1687420306.31566
squeezenet-zggwd,1687420314.3939438
neumf-49mtl,1687420378.1229074
bert-7w6jb,1687420378.249051
neumf-42f5f,1687420378.3704314
resnet50-th2gr,1687420401.1348953
lstm-sd9l2,1687420402.1427453
neumf-g9fvh,1687420404.0711296
resnet50-gbxvg,1687420450.3374908
